check,description,total,passed,failed,pass_rate,status
NOT NULL: employee_id,Every employee must have a canonical employee ID,18001,18001,0,1.0,PASS
NOT NULL: first_name,Every employee must have a first name,18001,18001,0,1.0,PASS
NOT NULL: last_name,Every employee must have a last name,18001,18001,0,1.0,PASS
NOT NULL: email,Every employee must have an email address,18001,18001,0,1.0,PASS
NOT NULL: department,Every employee must be assigned to a department,18001,17937,64,0.9964,PASS
NOT NULL: country,Every employee must have a country,18001,17960,41,0.9977,PASS
UNIQUE: email,Emails must be unique after deduplication,18001,9140,8861,0.5077,FAIL
UNIQUE: employee_id,Employee IDs must be unique after deduplication,18001,18001,0,1.0,PASS
VALUES IN SET: employment_type,"Employment type must be Full-Time, Part-Time, or Contractor",18001,18001,0,1.0,PASS
VALUES IN SET: currency,"Currency must be USD, EUR, or GBP when present",11139,11139,0,1.0,PASS
REGEX: email,Emails must match a standard email format,18001,18001,0,1.0,PASS
REGEX: employee_id,Employee IDs must match GT-###### or AC-######,18001,18001,0,1.0,PASS
NUMERIC RANGE: salary_usd_annual,"Annual USD salary must be between $15,000 and $2,000,000 when present",11139,8125,3014,0.7294,FAIL
DATE RANGE: hire_date,Hire dates must be between 1970-01-01 and today,18001,18001,0,1.0,PASS
REFERENTIAL INTEGRITY: manager_id -> employee_id,Every non-null manager_id must exist as an employee_id in the dataset,16187,16187,0,1.0,PASS
